1.950,1.198,3.229,2.253,3.128,2.886,2.933,3.280,4.694,1.945
4.504,3.935,1.317,4.342,2.591,2.343,1.002,1.983,3.752,4.405
1.964,2.484,1.602,4.214,3.868,3.802,3.715,4.568,4.532,3.501
2.155,2.612,1.116,4.666,3.750,4.633,2.208,4.779,4.456,4.544
1.001,2.509,1.489,4.731,3.055,2.957,2.948,3.281,3.178,4.668
4.538,4.135,2.291,4.138,1.581,4.441,4.092,4.104,3.115,2.801
1.907,4.235,4.864,3.174,4.609,2.129,3.071,2.313,4.967,2.001
3.715,4.057,1.129,4.929,1.365,3.456,1.597,3.083,1.373,4.125
4.092,3.393,1.058,1.168,1.724,4.888,2.018,4.004,2.125,2.022
2.031,2.188,1.036,4.949,3.266,3.407,3.153,1.175,2.886,3.159
3.692,3.137,1.220,3.480,3.325,3.182,4.373,2.790,3.414,1.494
2.010,4.401,1.065,1.625,4.294,1.917,2.037,3.803,4.866,1.793
3.990,1.562,2.530,2.293,4.535,3.622,2.334,1.086,2.476,4.889
3.116,3.969,2.382,2.842,1.847,4.348,2.439,1.148,3.756,1.623
4.195,1.061,3.342,2.982,4.990,1.537,3.690,1.380,1.647,4.953
4.227,1.979,4.385,1.142,3.142,1.366,4.884,3.332,3.223,2.272
4.400,3.121,1.068,1.740,2.734,1.320,2.123,2.002,1.002,3.772
4.096,4.281,4.407,1.606,4.560,3.633,3.785,3.256,4.759,2.007
4.148,2.981,4.564,2.105,1.061,1.260,4.599,3.565,3.921,3.017
3.230,2.456,4.131,4.027,3.800,4.848,4.075,4.912,3.361,3.477
3.556,2.305,1.132,4.153,3.841,1.316,1.594,3.745,3.140,1.765
1.224,3.446,1.214,1.854,3.011,1.376,2.636,1.080,1.478,4.760
3.235,3.746,2.511,4.052,4.586,4.641,2.986,4.050,3.836,4.805
1.966,3.245,1.175,4.693,4.781,3.004,3.344,4.088,1.997,2.516
2.154,3.155,4.796,2.542,1.180,3.730,2.980,2.186,2.664,4.450
4.284,1.683,3.741,4.991,4.137,3.900,2.240,1.638,4.457,3.441
2.560,4.022,3.875,3.589,1.829,4.542,3.876,2.211,1.254,4.651
4.175,2.994,2.656,3.462,2.594,1.156,2.208,1.985,4.889,4.070
2.615,3.947,2.211,3.109,1.829,2.017,2.736,1.330,4.413,4.665
1.852,2.895,4.366,2.153,3.443,2.768,2.590,4.157,2.858,2.859
4.968,4.849,1.940,1.908,3.651,2.648,3.875,3.934,4.133,2.053
4.993,2.975,1.336,1.448,3.246,3.040,4.739,4.603,2.862,1.826
3.258,2.235,3.602,3.060,4.373,1.527,2.004,3.390,3.501,2.650
4.602,4.241,3.163,2.620,2.589,1.456,4.749,1.938,1.611,3.040
2.820,1.296,3.302,3.794,2.962,1.292,1.719,1.464,3.334,1.340
2.536,1.589,2.646,3.501,2.438,4.584,2.670,4.735,4.282,1.467
1.416,1.531,3.554,3.738,4.160,3.169,3.701,3.747,2.353,3.602
2.616,3.561,4.738,2.720,3.025,2.328,3.315,4.454,2.135,4.338
3.078,1.904,2.678,1.668,4.650,1.232,3.416,1.416,2.254,1.572
2.998,3.544,4.317,2.800,4.078,3.381,4.889,1.479,4.265,4.341
4.166,2.819,3.109,4.942,4.779,4.052,2.841,3.161,4.218,2.107
2.026,1.855,3.205,4.806,1.951,4.206,1.122,3.025,2.136,2.131
2.568,3.142,4.092,4.847,1.602,2.579,1.651,4.347,1.339,4.425
3.963,4.433,4.560,1.603,3.227,2.210,2.085,1.066,3.061,1.076
4.593,2.068,2.973,3.546,1.006,1.453,2.866,3.493,4.279,2.659
4.707,3.390,1.007,3.720,1.851,1.061,3.943,3.208,4.134,1.353
2.423,2.199,3.276,3.041,4.129,1.748,3.306,3.578,2.839,3.232
4.897,4.007,2.524,2.736,3.851,1.375,3.551,1.457,1.407,3.667
1.668,4.059,4.002,2.248,3.283,3.581,4.246,1.806,3.705,4.292
2.658,2.975,3.057,4.757,1.207,3.286,2.959,2.375,3.680,4.078
